Importers	2020-Imported unit value	2020-Unit	2021-Imported unit value	2021-Unit	2022-Imported unit value	2022-Unit	2023-Imported unit value	2023-Unit	2024-Imported unit value	2024-Unit	Imported value in 2024, US Dollar thousand	Imported quantity in 2024	Quantity Unit in 2024	
"Malaysia"	4.45	US Dollar/Units	3.85	US Dollar/Units	4.00	US Dollar/Units	2.77	US Dollar/Units	3.81	US Dollar/Units	190108	49940013	Units	
"Switzerland"	51295	US Dollar/Tons	55708	US Dollar/Tons	57260	US Dollar/Tons	48549	US Dollar/Tons	50275	US Dollar/Tons	159019	3163	Tons	
"Singapore"	1.59	US Dollar/Units	1.77	US Dollar/Units	1.98	US Dollar/Units	1.89	US Dollar/Units	2.06	US Dollar/Units	157499	76455826	Units	
"Taipei, Chinese"	18619	US Dollar/Tons	17265	US Dollar/Tons	20554	US Dollar/Tons	21236	US Dollar/Tons	21822	US Dollar/Tons	156619	7177	Tons	
"Romania"	24285	US Dollar/Tons	25464	US Dollar/Tons	29264	US Dollar/Tons	27481	US Dollar/Tons	26429	US Dollar/Tons	133231	5041	Tons	
"Indonesia"	7428	US Dollar/Tons	8438	US Dollar/Tons	9042	US Dollar/Tons	7257	US Dollar/Tons	6684	US Dollar/Tons	106206	15890	Tons	
"Australia"	34	US Dollar/Units	28	US Dollar/Units	35	US Dollar/Units	37	US Dollar/Units	32	US Dollar/Units	99915	3120856	Units	
"Portugal"	23346	US Dollar/Tons	25468	US Dollar/Tons	28944	US Dollar/Tons	32680	US Dollar/Tons	32608	US Dollar/Tons	85758	2630	Tons	
"Sweden"	37072	US Dollar/Tons	33780	US Dollar/Tons	32882	US Dollar/Tons	38329	US Dollar/Tons	32995	US Dollar/Tons	83214	2522	Tons	
"Denmark"	33943	US Dollar/Tons	33881	US Dollar/Tons	40854	US Dollar/Tons	50049	US Dollar/Tons	49031	US Dollar/Tons	80793	1648	Tons	
"Belgium"	15	US Dollar/Units	35838	US Dollar/Tons	30892	US Dollar/Tons	37791	US Dollar/Tons	48499	US Dollar/Tons	73815	1522	Tons	
"United Arab Emirates"	11203	US Dollar/Tons	11181	US Dollar/Tons	10342	US Dollar/Tons	9858	US Dollar/Tons			72438	0	No quantity	
"Russian Federation"	21385	US Dollar/Tons	22181	US Dollar/Tons							65204	0	No quantity	
"Israel"	35649	US Dollar/Tons	35632	US Dollar/Tons	37258	US Dollar/Tons	40687	US Dollar/Tons	40591	US Dollar/Tons	55447	1366	Tons	
"Ireland"	15778	US Dollar/Tons	18089	US Dollar/Tons	19442	US Dollar/Tons	21026	US Dollar/Tons	18897	US Dollar/Tons	46108	2440	Tons	
"Ukraine"	29286	US Dollar/Tons	14439	US Dollar/Tons	14772	US Dollar/Tons	20891	US Dollar/Tons	20218	US Dollar/Tons	35058	1734	Tons	
"Argentina"	7189	US Dollar/Tons	8151	US Dollar/Tons	9186	US Dollar/Tons	8660	US Dollar/Tons	10049	US Dollar/Tons	33736	3357	Tons	
"Uzbekistan"	3.92	US Dollar/Units	3.42	US Dollar/Units	36780	US Dollar/Tons	40197	US Dollar/Tons	40582	US Dollar/Tons	32790	808	Tons	
"Finland"	70085	US Dollar/Tons	30	US Dollar/Units	58596	US Dollar/Tons	71516	US Dollar/Tons	73943	US Dollar/Tons	31056	420	Tons	
"Norway"	57366	US Dollar/Tons	63372	US Dollar/Tons	63780	US Dollar/Tons	66756	US Dollar/Tons	71200	US Dollar/Tons	30616	430	Tons	
"Egypt"	33281	US Dollar/Tons	35624	US Dollar/Tons	37268	US Dollar/Tons	40658	US Dollar/Tons	40574	US Dollar/Tons	30065	741	Tons	
"South Africa"	8.14	US Dollar/Units	8.23	US Dollar/Units	8.55	US Dollar/Units	8.36	US Dollar/Units	0.32	US Dollar/Units	27897	88538750	Units	
"Slovenia"	18920	US Dollar/Tons	19933	US Dollar/Tons	23813	US Dollar/Tons	27027	US Dollar/Tons	33736	US Dollar/Tons	22839	677	Tons	
"Iran, Islamic Republic of"	9077	US Dollar/Tons	10227	US Dollar/Tons	13872	US Dollar/Tons	14610	US Dollar/Tons			22057	0	No quantity	
"Serbia"	16724	US Dollar/Tons	19393	US Dollar/Tons	21319	US Dollar/Tons	24482	US Dollar/Tons	24436	US Dollar/Tons	21870	895	Tons	
"Macedonia, North"	30770	US Dollar/Tons	23164	US Dollar/Tons	21585	US Dollar/Tons	18835	US Dollar/Tons	21060	US Dollar/Tons	20491	973	Tons	
"Saudi Arabia"	20944	US Dollar/Tons	20367	US Dollar/Tons	15313	US Dollar/Tons	23158	US Dollar/Tons	23474	US Dollar/Tons	18709	797	Tons	
"Morocco"	10411	US Dollar/Tons	10353	US Dollar/Tons	9821	US Dollar/Tons	11852	US Dollar/Tons	12300	US Dollar/Tons	17687	1438	Tons	
"Lithuania"	26830	US Dollar/Tons	25921	US Dollar/Tons	9.74	US Dollar/Units	26884	US Dollar/Tons	30796	US Dollar/Tons	17092	555	Tons	
"Bulgaria"	11612	US Dollar/Tons	18681	US Dollar/Tons	15343	US Dollar/Tons	11714	US Dollar/Tons	10049	US Dollar/Tons	16430	1635	Tons	
"Pakistan"	13	US Dollar/Units	175	US Dollar/Units	30	US Dollar/Units	3.96	US Dollar/Units	1.79	US Dollar/Units	15967	8902066	Units	
"Dominican Republic"	13624	US Dollar/Tons	12018	US Dollar/Tons	14572	US Dollar/Tons	7883	US Dollar/Tons	8799	US Dollar/Tons	15434	1754	Tons	
"Kazakhstan"	11590	US Dollar/Tons	15318	US Dollar/Tons	20986	US Dollar/Tons	20217	US Dollar/Tons	25956	US Dollar/Tons	13445	518	Tons	
"Bangladesh"											12977	0	No quantity	
"Greece"	14812	US Dollar/Tons	18213	US Dollar/Tons	13273	US Dollar/Tons	17552	US Dollar/Tons	17750	US Dollar/Tons	12851	724	Tons	
"Colombia"	9333	US Dollar/Tons	9481	US Dollar/Tons	10373	US Dollar/Tons	11059	US Dollar/Tons	10152	US Dollar/Tons	12700	1251	Tons	
"Croatia"	51058	US Dollar/Tons	59947	US Dollar/Tons	49071	US Dollar/Tons	53251	US Dollar/Tons	55714	US Dollar/Tons	12480	224	Tons	
"Chile"	14	US Dollar/Units	12	US Dollar/Units	19	US Dollar/Units	18	US Dollar/Units	17	US Dollar/Units	11373	675159	Units	
"New Zealand"	29657	US Dollar/Tons	32395	US Dollar/Tons	30258	US Dollar/Tons	37246	US Dollar/Tons	53225	US Dollar/Tons	10166	191	Tons	
"Cambodia"	5217	US Dollar/Tons	7945	US Dollar/Tons	8615	US Dollar/Tons	9876	US Dollar/Tons	6984	US Dollar/Tons	9393	1345	Tons	
"Algeria"											9317	0	No quantity	
"Costa Rica"	16105	US Dollar/Tons	19082	US Dollar/Tons	20025	US Dollar/Tons	23421	US Dollar/Tons	31540	US Dollar/Tons	8295	263	Tons	
"Peru"	9056	US Dollar/Tons	8703	US Dollar/Tons	6748	US Dollar/Tons	9990	US Dollar/Tons	9359	US Dollar/Tons	7787	832	Tons	
"Iraq"											7187	0	No quantity	
"Ecuador"	10809	US Dollar/Tons	12729	US Dollar/Tons	12539	US Dollar/Tons	12195	US Dollar/Tons	10115	US Dollar/Tons	5806	574	Tons	
"Tunisia"	21437	US Dollar/Tons	14849	US Dollar/Tons	19410	US Dollar/Tons	18133	US Dollar/Tons			5525	0	No quantity	
"Qatar"	32711	US Dollar/Tons	24138	US Dollar/Tons	25189	US Dollar/Tons	40273	US Dollar/Tons	30511	US Dollar/Tons	5492	180	Tons	
"Estonia"	92143	US Dollar/Tons	62685	US Dollar/Tons	71778	US Dollar/Tons	55533	US Dollar/Tons	76615	US Dollar/Tons	4980	65	Tons	
"Sri Lanka"	35408	US Dollar/Tons	37078	US Dollar/Tons	3.86	US Dollar/Units	4.02	US Dollar/Units	2.40	US Dollar/Units	4422	1839726	Units	
"Belarus"	20038	US Dollar/Tons	21120	US Dollar/Tons							4328	0	No quantity	
"Latvia"	19020	US Dollar/Tons	11778	US Dollar/Tons	14733	US Dollar/Tons	15329	US Dollar/Tons	20927	US Dollar/Tons	4311	206	Tons	
"Luxembourg"	26102	US Dollar/Tons	27327	US Dollar/Tons	24256	US Dollar/Tons	25212	US Dollar/Tons	24537	US Dollar/Tons	3975	162	Tons	
"Guatemala"	12807	US Dollar/Tons	14083	US Dollar/Tons	16313	US Dollar/Tons	17591	US Dollar/Tons	13239	US Dollar/Tons	3601	272	Tons	
"Bosnia and Herzegovina"	17886	US Dollar/Tons	16638	US Dollar/Tons	17912	US Dollar/Tons	18625	US Dollar/Tons	16647	US Dollar/Tons	3579	215	Tons	
"Oman"	5187	US Dollar/Tons	7262	US Dollar/Tons	37067	US Dollar/Tons	39948	US Dollar/Tons	9568	US Dollar/Tons	3215	336	Tons	
"Azerbaijan"	12096	US Dollar/Tons	8425	US Dollar/Tons	15600	US Dollar/Tons	17909	US Dollar/Tons	11099	US Dollar/Tons	3041	274	Tons	
"Nigeria"	3874	US Dollar/Tons	7337	US Dollar/Tons	13017	US Dollar/Tons	8793	US Dollar/Tons	4982	US Dollar/Tons	2999	602	Tons	
"Kuwait"	14654	US Dollar/Tons	14600	US Dollar/Tons	16180	US Dollar/Tons	18631	US Dollar/Tons	13063	US Dollar/Tons	2286	175	Tons	
"Yemen"	1834	US Dollar/Tons									2276	0	No quantity	
"Lebanon"	9915	US Dollar/Tons	7989	US Dollar/Tons	10625	US Dollar/Tons	9299	US Dollar/Tons			2273	0	No quantity	
"Angola"	10019	US Dollar/Tons	6399	US Dollar/Tons	8416	US Dollar/Tons	13009	US Dollar/Tons	5456	US Dollar/Tons	2226	408	Tons	
"Trinidad and Tobago"	10579	US Dollar/Tons	9974	US Dollar/Tons	11945	US Dollar/Tons	12669	US Dollar/Tons	8081	US Dollar/Tons	2101	260	Tons	
"Bahamas"	210	US Dollar/Units	78	US Dollar/Units	196	US Dollar/Units	182	US Dollar/Units	744	US Dollar/Units	1990	2674	Units	
"Venezuela, Bolivarian Republic of"											1948	0	No quantity	
"Myanmar"	30188	US Dollar/Tons	34054	US Dollar/Tons	37585	US Dollar/Tons	40308	US Dollar/Tons	57059	US Dollar/Tons	1940	34	Tons	
"Jordan"	35476	US Dollar/Tons	36026	US Dollar/Tons	37111	US Dollar/Tons	39935	US Dollar/Tons			1892	0	No quantity	
"Panama"	17938	US Dollar/Tons	16574	US Dollar/Tons	19407	US Dollar/Tons	15841	US Dollar/Tons	11629	US Dollar/Tons	1849	159	Tons	
"Papua New Guinea"		US Dollar/Mixed	58	US Dollar/Units	63	US Dollar/Units	100	US Dollar/Units	24	US Dollar/Units	1739	72724	Units	
"Moldova, Republic of"	19951	US Dollar/Tons	22092	US Dollar/Tons	18010	US Dollar/Tons	26220	US Dollar/Tons	23781	US Dollar/Tons	1736	73	Tons	
"Bahrain"	16046	US Dollar/Tons	23429	US Dollar/Tons	21436	US Dollar/Tons	22696	US Dollar/Tons	12383	US Dollar/Tons	1647	133	Tons	
"Honduras"	4476	US Dollar/Tons	5477	US Dollar/Tons	4667	US Dollar/Tons	4320	US Dollar/Tons	5399	US Dollar/Tons	1598	296	Tons	
"Botswana"	9213	US Dollar/Tons	11882	US Dollar/Tons	13184	US Dollar/Tons	8588	US Dollar/Tons	11305	US Dollar/Tons	1594	141	Tons	
"Uruguay"	15097	US Dollar/Tons	22583	US Dollar/Tons	20386	US Dollar/Tons	19342	US Dollar/Tons	18741	US Dollar/Tons	1518	81	Tons	
"Brunei Darussalam"	55	US Dollar/Units	74	US Dollar/Units	54	US Dollar/Units	49	US Dollar/Units	725	US Dollar/Units	1513	2087	Units	
"Albania"	4967	US Dollar/Tons	6222	US Dollar/Tons		US Dollar/Tons	11298	US Dollar/Tons	13204	US Dollar/Tons	1492	113	Tons	
"Kenya"	56545	US Dollar/Tons	39070	US Dollar/Tons	10961	US Dollar/Tons	10432	US Dollar/Tons	6345	US Dollar/Tons	1453	229	Tons	
"Libya, State of"											1431	0	No quantity	
"Mongolia"	31057	US Dollar/Tons	221	US Dollar/Units	16061	US Dollar/Tons	11840	US Dollar/Tons	12267	US Dollar/Tons	1423	116	Tons	
"Namibia"	11518	US Dollar/Tons	10741	US Dollar/Tons	13154	US Dollar/Tons	13822	US Dollar/Tons	11582	US Dollar/Tons	1413	122	Tons	
"Cyprus"	12182	US Dollar/Tons	16698	US Dollar/Tons	19069	US Dollar/Tons	16239	US Dollar/Tons	14485	US Dollar/Tons	1405	97	Tons	
"Zambia"	9034	US Dollar/Tons	8191	US Dollar/Tons	7404	US Dollar/Tons	12548	US Dollar/Tons	5425	US Dollar/Tons	1405	259	Tons	
"Malta"	41519	US Dollar/Tons	45406	US Dollar/Tons	41838	US Dollar/Tons	42462	US Dollar/Tons	48241	US Dollar/Tons	1399	29	Tons	
"Guyana"	8951	US Dollar/Tons	4457	US Dollar/Tons	9954	US Dollar/Tons	6012	US Dollar/Tons	9164	US Dollar/Tons	1393	152	Tons	
"Suriname"	9038	US Dollar/Tons	30717	US Dollar/Tons	26796	US Dollar/Tons	20204	US Dollar/Tons	12591	US Dollar/Tons	1385	110	Tons	
"Armenia"	19636	US Dollar/Tons	21654	US Dollar/Tons	36130	US Dollar/Tons	53739	US Dollar/Tons	49444	US Dollar/Tons	1335	27	Tons	
"El Salvador"	16338	US Dollar/Tons	22981	US Dollar/Tons	20106	US Dollar/Tons	18493	US Dollar/Tons	15360	US Dollar/Tons	1321	86	Tons	
"Iceland"	48500	US Dollar/Tons	58563	US Dollar/Tons	49500	US Dollar/Tons	56800	US Dollar/Tons	67842	US Dollar/Tons	1289	19	Tons	
"Paraguay"	21303	US Dollar/Tons	18208	US Dollar/Tons	18980	US Dollar/Tons	23659	US Dollar/Tons	22564	US Dollar/Tons	1241	55	Tons	
"Mauritius"	72	US Dollar/Units	59	US Dollar/Units	83	US Dollar/Units	71	US Dollar/Units	71	US Dollar/Units	1163	16266	Units	
"Ghana"			2455	US Dollar/Tons	4028	US Dollar/Tons	3400	US Dollar/Tons			1154	0	No quantity	
"Zimbabwe"	5469	US Dollar/Tons	4195	US Dollar/Tons	3704	US Dollar/Tons	3317	US Dollar/Tons	5646	US Dollar/Tons	1067	189	Tons	
"Côte d'Ivoire"	10345	US Dollar/Tons	9713	US Dollar/Tons	6563	US Dollar/Tons	9085	US Dollar/Tons	5062	US Dollar/Tons	982	194	Tons	
"Georgia"	9057	US Dollar/Tons	10922	US Dollar/Tons	12506	US Dollar/Tons	12049	US Dollar/Tons	12711	US Dollar/Tons	966	76	Tons	
"Tanzania, United Republic of"	4203	US Dollar/Tons	4925	US Dollar/Tons	2453	US Dollar/Tons	3033	US Dollar/Tons	2497	US Dollar/Tons	919	368	Tons	
"Nicaragua"	17750	US Dollar/Tons	15595	US Dollar/Tons	14139	US Dollar/Tons	17568	US Dollar/Tons	15944	US Dollar/Tons	861	54	Tons	
"Lao People's Democratic Republic"	5844	US Dollar/Tons	3068	US Dollar/Tons	3642	US Dollar/Tons	6813	US Dollar/Tons			808	0	No quantity	
"Ethiopia"	6328	US Dollar/Tons	9333	US Dollar/Tons	7565	US Dollar/Tons	12073	US Dollar/Tons			792	0	No quantity	
"Eswatini"	12000	US Dollar/Tons	10565	US Dollar/Tons	15238	US Dollar/Tons	19529	US Dollar/Tons			701	0	No quantity	
"Fiji"	47	US Dollar/Units	185	US Dollar/Units	218	US Dollar/Units	121	US Dollar/Units	117	US Dollar/Units	699	5975	Units	
"Cuba"	14182	US Dollar/Tons	24182	US Dollar/Tons	17300	US Dollar/Tons					684	0	No quantity	
"Ship stores and bunkers"											684	0	No quantity	
"Congo, Democratic Republic of the"	10141	US Dollar/Tons	9101	US Dollar/Tons	8447	US Dollar/Tons	9859	US Dollar/Tons			677	0	No quantity	
"Bolivia, Plurinational State of"	5067	US Dollar/Tons	7730	US Dollar/Tons	6231	US Dollar/Tons	6120	US Dollar/Tons	7191	US Dollar/Tons	676	94	Tons	
"Kyrgyzstan"	4455	US Dollar/Tons	4719	US Dollar/Tons	58000	US Dollar/Tons	8745	US Dollar/Tons	16923	US Dollar/Tons	660	39	Tons	
"Uganda"	3067	US Dollar/Tons	2618	US Dollar/Tons	3004	US Dollar/Tons	3970	US Dollar/Tons	2980	US Dollar/Tons	608	204	Tons	
"Tajikistan"		US Dollar/Mixed	49	US Dollar/Units	31	US Dollar/Units		US Dollar/Mixed	52	US Dollar/Units	596	11500	Units	
"Burkina Faso"	22000	US Dollar/Tons	4459	US Dollar/Tons	7043	US Dollar/Tons	1597	US Dollar/Tons	4413	US Dollar/Tons	556	126	Tons	
"Seychelles"	9333	US Dollar/Tons	16810	US Dollar/Tons	21722	US Dollar/Tons	7533	US Dollar/Tons	21920	US Dollar/Tons	548	25	Tons	
"Barbados"	16167	US Dollar/Tons	17900	US Dollar/Tons	19727	US Dollar/Tons	24000	US Dollar/Tons	21240	US Dollar/Tons	531	25	Tons	
"Jamaica"	4411	US Dollar/Tons	4917	US Dollar/Tons	4045	US Dollar/Tons	6937	US Dollar/Tons			469	0	No quantity	
"Nepal"	6.00	US Dollar/Units	5.26	US Dollar/Units	5.28	US Dollar/Units					460	0	No quantity	
"Cameroon"	1460	US Dollar/Tons	2541	US Dollar/Tons	1516	US Dollar/Tons	4676	US Dollar/Tons			457	0	No quantity	
"Turkmenistan"	43667	US Dollar/Tons			5475	US Dollar/Tons			17500	US Dollar/Tons	455	26	Tons	
"Aruba"	21000	US Dollar/Tons	20385	US Dollar/Tons	25750	US Dollar/Tons	21667	US Dollar/Tons			386	0	No quantity	
"Senegal"	7308	US Dollar/Tons	4725	US Dollar/Tons	7795	US Dollar/Tons	9755	US Dollar/Tons	3979	US Dollar/Tons	382	96	Tons	
"Antigua and Barbuda"	6600	US Dollar/Tons	21000	US Dollar/Tons	13444	US Dollar/Tons	19938	US Dollar/Tons	19789	US Dollar/Tons	376	19	Tons	
"Guinea"											359	0	No quantity	
"Syrian Arab Republic"			3701	US Dollar/Tons	4423	US Dollar/Tons	4067	US Dollar/Tons	4450	US Dollar/Tons	356	80	Tons	
"Saint Vincent and the Grenadines"	19750	US Dollar/Tons	10556	US Dollar/Tons	10750	US Dollar/Tons	24000	US Dollar/Tons			348	0	No quantity	
"Belize"	3400	US Dollar/Tons	9000	US Dollar/Tons		US Dollar/Mixed		US Dollar/Mixed	14292	US Dollar/Tons	343	24	Tons	
"Congo"	91235	US Dollar/Tons	14857	US Dollar/Tons	9588	US Dollar/Tons	4630	US Dollar/Tons			327	0	No quantity	
"Turks and Caicos Islands"											326	0	No quantity	
"Lesotho"	5586	US Dollar/Tons	5545	US Dollar/Tons	5136	US Dollar/Tons	3836	US Dollar/Tons	4909	US Dollar/Tons	324	66	Tons	
"Haiti"											312	0	No quantity	
"Djibouti"				US Dollar/Tons	3692	US Dollar/Tons	4345	US Dollar/Tons			306	0	No quantity	
"Montenegro"	10000	US Dollar/Tons	14313	US Dollar/Tons	16111	US Dollar/Tons	38000	US Dollar/Tons	24833	US Dollar/Tons	298	12	Tons	
"Cayman Islands"	29000	US Dollar/Tons	35000	US Dollar/Tons	45500	US Dollar/Tons	45000	US Dollar/Tons	41429	US Dollar/Tons	290	7	Tons	
"Liberia"	8800	US Dollar/Tons	12575	US Dollar/Tons	15117	US Dollar/Tons	26667	US Dollar/Tons			285	0	No quantity	
"Gabon"	13615	US Dollar/Tons	12111	US Dollar/Tons	18500	US Dollar/Tons	9870	US Dollar/Tons			282	0	No quantity	
"Rwanda"	6583	US Dollar/Tons	3429	US Dollar/Tons	9067	US Dollar/Tons					268	0	No quantity	
"Afghanistan"							11109	US Dollar/Tons			254	0	No quantity	
"Malawi"	7958	US Dollar/Tons	4333	US Dollar/Tons	5297	US Dollar/Tons	4962	US Dollar/Tons	4538	US Dollar/Tons	236	52	Tons	
"Maldives"	151	US Dollar/Units	241	US Dollar/Units	203	US Dollar/Units	30	US Dollar/Units	197	US Dollar/Units	226	1150	Units	
"French Polynesia"	42750	US Dollar/Tons	39286	US Dollar/Tons	42667	US Dollar/Tons	31333	US Dollar/Tons	43400	US Dollar/Tons	217	5	Tons	
"Bermuda"					41500	US Dollar/Tons		US Dollar/Tons	207000	US Dollar/Tons	207	1	Tons	
"Faroe Islands"					8400	US Dollar/Tons	40333	US Dollar/Tons	25750	US Dollar/Tons	206	8	Tons	
"Equatorial Guinea"											200	0	No quantity	
"Bhutan"	44	US Dollar/Units	48	US Dollar/Units	64	US Dollar/Units	63	US Dollar/Units	90	US Dollar/Units	187	2071	Units	
"Marshall Islands"	15714	US Dollar/Tons	3097	US Dollar/Tons					17100	US Dollar/Tons	171	10	Tons	
"Solomon Islands"	923	US Dollar/Units	1357	US Dollar/Units							158	0	No quantity	
"Timor-Leste"	7000	US Dollar/Tons	2800	US Dollar/Tons	7000	US Dollar/Tons	8600	US Dollar/Tons	2055	US Dollar/Tons	150	73	Tons	
"Curaçao"		US Dollar/Mixed									138	0	No quantity	
"Cabo Verde"	15800	US Dollar/Tons	9700	US Dollar/Tons	13800	US Dollar/Tons	14333	US Dollar/Tons	8733	US Dollar/Tons	131	15	Tons	
"Gibraltar"	22500	US Dollar/Tons	34000	US Dollar/Tons	42000	US Dollar/Tons			42667	US Dollar/Tons	128	3	Tons	
"Sudan"			6117	US Dollar/Tons							124	0	No quantity	
"New Caledonia"											115	0	No quantity	
"Mali"	2489	US Dollar/Tons	3250	US Dollar/Tons	2038	US Dollar/Tons	17038	US Dollar/Tons			109	0	No quantity	
"Saint Kitts and Nevis"							33	US Dollar/Units	99	US Dollar/Units	109	1102	Units	
"Madagascar"	5741	US Dollar/Tons	7487	US Dollar/Tons	6590	US Dollar/Tons	4324	US Dollar/Tons	4240	US Dollar/Tons	106	25	Tons	
"Andorra"	14400	US Dollar/Tons	30000	US Dollar/Tons	20653	US Dollar/Tons	18769	US Dollar/Tons	26500	US Dollar/Tons	106	4	Tons	
"Sierra Leone"											98	0	No quantity	
"Central African Republic"		US Dollar/Tons	1667	US Dollar/Tons	12000	US Dollar/Tons	2158	US Dollar/Tons	1778	US Dollar/Tons	96	54	Tons	
"Palestine, State of"	33500	US Dollar/Tons	35636	US Dollar/Tons	37058	US Dollar/Tons	40486	US Dollar/Tons	7308	US Dollar/Tons	95	13	Tons	
"Togo"	5054	US Dollar/Tons	7917	US Dollar/Tons	1318	US Dollar/Tons	7000	US Dollar/Tons	2900	US Dollar/Tons	87	30	Tons	
"Mauritania"	17500	US Dollar/Tons	20000	US Dollar/Tons	24000	US Dollar/Tons	14333	US Dollar/Tons	11286	US Dollar/Tons	79	7	Tons	
"Samoa"	181	US Dollar/Units	290	US Dollar/Units	142	US Dollar/Units		US Dollar/Mixed		US Dollar/Mixed	75	0	Mixed	
"Macao, China"					14760	US Dollar/Tons	36000	US Dollar/Tons	18500	US Dollar/Tons	74	4	Tons	
"Burundi"	4364	US Dollar/Tons	2667	US Dollar/Tons	2115	US Dollar/Tons	3100	US Dollar/Tons	2267	US Dollar/Tons	68	30	Tons	
"Greenland"		US Dollar/Tons		US Dollar/Tons	42000	US Dollar/Tons	33500	US Dollar/Tons			67	0	No quantity	
"Grenada"	19000	US Dollar/Tons	18333	US Dollar/Tons	15000	US Dollar/Tons	19000	US Dollar/Tons	9833	US Dollar/Tons	59	6	Tons	
"Saint Lucia"	17000	US Dollar/Tons									56	0	No quantity	
"Vanuatu"											53	0	No quantity	
"Sint Maarten (Dutch part)"		US Dollar/Tons		US Dollar/Tons		US Dollar/Tons		US Dollar/Tons		US Dollar/Tons	51	0	Tons	
"Somalia"					34800	US Dollar/Tons					51	0	No quantity	
